threshold	linesThatMapToLibraryAddresses	linesThatMapToSingleLibraryAddresses	linesThatMapToMultipleLibraryAddresses	linesThatMapToUnambiguousLibraryAddresses	linesThatMapToAmbiguousLibraryAddresses	linesThatDoNotMapToLibraryAddresses	linesThatHaveNoReadsAboveThresholdInAnyPool	linesThatMapToControlIndexesOnly	linesThatHaveCoordinatesInNoPoolAxis	linesThatHaveCoordinatesInOnlyOnePoolAxis	linesThatHaveCoordinatesInOnlyTwoPoolAxes	linesThatHaveCoordinatesInOnlyThreePoolAxes	
1	12308	2179	10129	4638	7670	13319	1	0	1	8248	2988	2082
2	10958	4006	6952	6284	4674	14669	8097	0	8097	3552	1561	1459
3	10217	4782	5435	6681	3536	15410	10294	0	10294	2488	1198	1430
4	9680	5094	4586	6722	2958	15947	11380	0	11380	1998	1103	1466
5	9214	5187	4027	6607	2607	16413	12059	0	12059	1724	1110	1520
6	8850	5199	3651	6478	2372	16777	12492	0	12492	1608	1128	1549
7	8550	5180	3370	6355	2195	17077	12824	0	12824	1540	1161	1552
8	8252	5104	3148	6182	2070	17375	13092	0	13092	1516	1165	1602
9	7997	4994	3003	6035	1962	17630	13324	0	13324	1503	1201	1602
10	7734	4893	2841	5874	1860	17893	13505	0	13505	1514	1253	1621
11	7487	4773	2714	5722	1765	18140	13663	0	13663	1525	1274	1678
12	7284	4655	2629	5589	1695	18343	13814	0	13814	1549	1286	1694
